Wed Nov 19 13:23:00 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill
Authors: Sugata Chakravarty and Todd J. Vision

-parameters
	MIN_SCORE = 200
	MAX_DIST = 10

-contigs

    contig   markers  features
       120         1          -1 At1g02290
       121         1           1 At1g02300
       122         1          -1 At1g02310
       123         1           1 At1g02320
       124         1          -1 At1g02330
       125         1          -1 At1g02340
       126         1           1 At1g02350
       127         1          -1 At1g02360
       128         1           1 At1g02370
       129         1           1 At1g02380
       130         1           1 At1g02390
       131         1           1 At1g02400
       132         1           1 At1g02410
       133         1           1 At1g02420
       134         1          -1 At1g02430
       134         1          -1 At1g02440
       135         1          -1 At1g02450
       136         1          -1 At1g02460
       137         1          -1 At1g02470
       138         1           1 At1g02490
       139         1           1 At1g02500
       140         1          -1 At1g02510
       141         1           1 At1g02520
       141         1           1 At1g02530
       142         1          -1 At1g02540
       143         1           1 At1g02550
       144         1           1 At1g02560
       145         1           1 At1g02570
       146         1           1 At1g02580
       147         1          -1 At1g02590
       148         1          -1 At1g02610
       149         1           1 At1g02620
       150         1          -1 At1g02630
       151         1           1 At1g02640
       152         1           1 At1g02650
       153         1          -1 At1g02660
       154         1           1 At1g02670
       155         1           1 At1g02680
       156         1           1 At1g02690
       157         1           1 At1g02700
       158         1          -1 At1g02710
       159         1           1 At1g02720
       160         1          -1 At1g02730
       161         1          -1 At1g02740
       162         1           1 At1g02750
       163         1          -1 At1g02770
       164         1          -1 At1g02780
       165         1          -1 At1g02790
       166         1          -1 At1g02800
       167         1           1 At1g02810
       168         1          -1 At1g02820
       169         1          -1 At1g02830
       170         1           1 At1g02840
       171         1           1 At1g02850
       172         1           1 At1g02860
       173         1          -1 At1g02870
       174         1          -1 At1g02880
       175         1          -1 At1g02890
       176         1          -1 At1g02900
       177         1          -1 At1g02910
       178         1          -1 At1g02920
       178         1          -1 At1g02930
       179         1          -1 At1g02940
       179         1          -1 At1g02950
       180         1          -1 At1g02960
       181         1           1 At1g02970
       182         1           1 At1g02980
       183         1          -1 At1g02990
       184         1          -1 At1g03000
       185         1           1 At1g03010
       186         1          -1 At1g03020
       187         1           1 At1g03030
       188         1          -1 At1g03040
       189         1           1 At1g03050
       190         1          -1 At1g03060
       191         1           1 At1g03070
       192         1          -1 At1g03080
       193         1           1 At1g03090
       194         1          -1 At1g03100
       195         1           1 At1g03110
       196         1           1 At1g03120
       197         1          -1 At1g03130
       198         1          -1 At1g03140
       199         1           1 At1g03150
       200         1           1 At1g03160
       201         1           1 At1g03170
       202         1           1 At1g03180
       203         1           1 At1g03190
       204         1           1 At1g03200
       205         1           1 At1g03210
       206         1           1 At1g03220
       206         1           1 At1g03230
       207         1          -1 At1g03240
       208         1          -1 At1g03250
       209         1          -1 At1g03260
       210         1           1 At1g03270
       211         1           1 At1g03280
       212         1           1 At1g03290
       213         1          -1 At1g03300
       214         1           1 At1g03310
       215         1           1 At1g03320
       216         1          -1 At1g03330
       217         1           1 At1g03340
       218         1          -1 At1g03350
       219         1           1 At1g03360
       220         1           1 At1g03370
       221         1           1 At1g03380
       222         1          -1 At1g03390
       223         1          -1 At1g03400
       223         1          -1 At1g03410
       224         1           1 At1g03420
       225         1           1 At1g03430
       226         1           1 At1g03440
       227         1          -1 At1g03450
       228         1          -1 At1g03460
       229         1          -1 At1g03470
       230         1          -1 At1g03480
       231         1           1 At1g03490
       232         1           1 At1g03500
       233         1          -1 At1g03510
       233         1          -1 At1g03540
       234         1          -1 At1g03520
       235         1          -1 At1g03530
       236         1          -1 At1g03550
       237         1          -1 At1g03560
       238         1           1 At1g03580
       239         1          -1 At1g03590
       240         1           1 At1g03600
       241         1           1 At1g03610
       242         1          -1 At1g03620
       243         1           1 At1g03630
       244         1          -1 At1g03650
       245         1          -1 At1g03660
       246         1          -1 At1g03670
       247         1          -1 At1g03680
       248         1           1 At1g03690
       249         1           1 At1g03700
       250         1           1 At1g03710
       251         1          -1 At1g03720
       252         1          -1 At1g03730
       253         1           1 At1g03740
       254         1           1 At1g03750
       255         1          -1 At1g03760
       256         1           1 At1g03770
       257         1          -1 At1g03780
       258         1           1 At1g03790
       259         1          -1 At1g03800
       260         1           1 At1g03810
       261         1          -1 At1g03820
       262         1          -1 At1g03830
       263         1          -1 At1g03840
       264         1          -1 At1g03850
       265         1          -1 At1g03860
       266         1          -1 At1g03870
       267         1           1 At1g03880
       267         1           1 At1g03890
       268         1           1 At1g03900
       269         1           1 At1g03910
       270         1           1 At1g03920
       271         1           1 At1g03930
       272         1          -1 At1g03940
       273         1          -1 At1g03950
       274         1           1 At1g03960
       275         1           1 At1g03970
       276         1          -1 At1g03980
       277         1           1 At1g03990
       278         1          -1 At1g04000
       279         1          -1 At1g04010
       280         1           1 At1g04020
       281         1           1 At1g04030
       282         1          -1 At1g04040
       283         1          -1 At1g04050
       284         1          -1 At1g04060
       285         1          -1 At1g04070
       286         1           1 At1g04080
       287         1           1 At1g04090
       288         1           1 At1g04100
       289         1          -1 At1g04110
       290         1          -1 At1g04120
       291         1           1 At1g04130
       292         1          -1 At1g04140
       293         1          -1 At1g04150
       294         1           1 At1g04160
       295         1           1 At1g04170
       296         1           1 At1g04180
       297         1          -1 At1g04190
       298         1           1 At1g04200
       299         1           1 At1g04210
       300         1          -1 At1g04220
       301         1           1 At1g04230
       302         1          -1 At1g04240
       303         1           1 At1g04250
       304         1          -1 At1g04260
       305         1          -1 At1g04270
       306         1          -1 At1g04280
       307         1          -1 At1g04290
       308         1          -1 At1g04300
       309         1          -1 At1g04310
       310         1          -1 At1g04330
       311         1          -1 At1g04340
       312         1           1 At1g04350
       312         1           1 At1g04380
       313         1          -1 At1g04360
       314         1           1 At1g04370
       315         1          -1 At1g04390
       316         1          -1 At1g04400
       317         1          -1 At1g04410
       318         1           1 At1g04420
       319         1           1 At1g04430
       320         1           1 At1g04440
       321         1           1 At1g04450
       322         1          -1 At1g04460
       323         1          -1 At1g04470
       324         1           1 At1g04480
       325         1          -1 At1g04490
       326         1          -1 At1g04500
       327         1           1 At1g04510
       328         1           1 At1g04520
       329         1          -1 At1g04530
       330         1           1 At1g04540
       331         1           1 At1g04550
       332         1           1 At1g04560
       333         1          -1 At1g04570
       334         1          -1 At1g04580
       335         1          -1 At1g04590
       336         1           1 At1g04600
       337         1           1 At1g04610
       338         1          -1 At1g04620
       339         1          -1 At1g04630
       340         1           1 At1g04640
       341         1          -1 At1g04650
       342         1          -1 At1g04660
       343         1           1 At1g04670
       344         1          -1 At1g04680
       345         1           1 At1g04690
       346         1           1 At1g04700
       347         1           1 At1g04710
       348         1          -1 At1g04730
       349         1          -1 At1g04740
       349         1          -1 At1g04760
       350         1          -1 At1g04750
       351         1          -1 At1g04770
       352         1          -1 At1g04780
       353         1           1 At1g04790
       354         1          -1 At1g04800
       355         1           1 At1g04810
       356         1          -1 At1g04820
       357         1          -1 At1g04830
       358         1          -1 At1g04840
       359         1          -1 At1g04850
       360         1          -1 At1g04860
       361         1          -1 At1g04870
       362         1          -1 At1g04880
       363         1          -1 At1g04890
       364         1           1 At1g04900
       365         1          -1 At1g04910
       366         1          -1 At1g04920
       367         1          -1 At1g04930
       368         1           1 At1g04940
       369         1          -1 At1g04950
       370         1          -1 At1g04960
       371         1           1 At1g04970
       372         1          -1 At1g04980
       373         1          -1 At1g04990
       374         1           1 At1g05000
       375         1          -1 At1g05010
       376         1          -1 At1g05020
       377         1          -1 At1g05030
       378         1          -1 At1g05040
       379         1          -1 At1g05050
       380         1          -1 At1g05060
       381         1          -1 At1g05070
       382         1           1 At1g05080
       383         1           1 At1g05090
       384         1           1 At1g05100
       385         1          -1 At1g05110
       386         1          -1 At1g05120
       387         1           1 At1g05130
       388         1           1 At1g05140
       389         1          -1 At1g05150
       390         1          -1 At1g05160
       391         1          -1 At1g05170
       392         1          -1 At1g05180
       393         1          -1 At1g05190
       394         1           1 At1g05200
       395         1           1 At1g05210
       396         1           1 At1g05220
       397         1          -1 At1g05230
       398         1           1 At1g05240
       398         1           1 At1g05250
       398         1           1 At1g05260
       399         1          -1 At1g05270
       400         1          -1 At1g05280
       401         1          -1 At1g05290
       402         1          -1 At1g05300
       403         1          -1 At1g05310
       404         1           1 At1g05320
       405         1           1 At1g05330
       406         1          -1 At1g05340
       407         1          -1 At1g05350
       408         1           1 At1g05360
       409         1          -1 At1g05370
       410         1           1 At1g05380
       411         1           1 At1g05400
       412         1          -1 At1g05410
       413         1           1 At1g05420
       414         1          -1 At1g05430
       415         1          -1 At1g05440
       416         1           1 At1g05450
       417         1          -1 At1g05460
       418         1          -1 At1g05470
       419         1          -1 At1g05480
       420         1          -1 At1g05490
       421         1           1 At1g05500
       422         1           1 At1g05510
       423         1          -1 At1g05520
       424         1          -1 At1g05530
       424         1          -1 At1g05560
       425         1           1 At1g05540
       426         1          -1 At1g05550
       427         1          -1 At1g05570
       428         1          -1 At1g05580
       429         1           1 At1g05590
       430         1           1 At1g05600
       431         1          -1 At1g05610
       432         1           1 At1g05620
       433         1           1 At1g05630
       434         1          -1 At1g05640
       435         1          -1 At1g05650
       435         1          -1 At1g05660
       436         1          -1 At1g05670
       436         1          -1 At1g05680
       437         1           1 At1g05690
       438         1           1 At1g05700
       439         1           1 At1g05710
       440         1          -1 At1g05720
       441         1           1 At1g05730
       442         1           1 At1g05740
       443         1           1 At1g05750
       444         1          -1 At1g05760
       445         1          -1 At1g05770
       446         1           1 At1g05780
       447         1           1 At1g05790
       448         1           1 At1g05800
       449         1           1 At1g05810
       450         1           1 At1g05820
       451         1           1 At1g05830
       452         1          -1 At1g05840
       453         1          -1 At1g05850
       454         1           1 At1g05860
       455         1          -1 At1g05870
       456         1           1 At1g05880
       457         1           1 At1g05890
       458         1           1 At1g05900
       459         1           1 At1g05910
       460         1           1 At1g05920
       461         1           1 At1g05930
       462         1          -1 At1g05940
       463         1          -1 At1g05950
       464         1          -1 At1g05960
       465         1          -1 At1g05970
       466         1           1 At1g05990
       467         1          -1 At1g06000
       468         1           1 At1g06010
       469         1           1 At1g06020
       469         1           1 At1g06030
       470         1          -1 At1g06040
       471         1          -1 At1g06050
       472         1           1 At1g06060
       473         1          -1 At1g06070
       474         1           1 At1g06080
       474         1           1 At1g06090
       474         1           1 At1g06100
       474         1           1 At1g06120
       475         1          -1 At1g06110
       476         1          -1 At1g06130
       477         1           1 At1g06140
       477         1           1 At1g06150
       478         1           1 At1g06160
       479         1          -1 At1g06170
       480         1           1 At1g06180
       481         1          -1 At1g06190
       482         1          -1 At1g06200
       483         1           1 At1g06210
       484         1           1 At1g06220
       485         1           1 At1g06230
       486         1           1 At1g06240
       487         1          -1 At1g06250
       488         1           1 At1g06260
       489         1          -1 At1g06270
       490         1          -1 At1g06280
       491         1           1 At1g06290
       491         1           1 At1g06300
       491         1           1 At1g06310
       492         1           1 At1g06320
       493         1          -1 At1g06330
       494         1          -1 At1g06340
       495         1          -1 At1g06350
       495         1          -1 At1g06360
       496         1           1 At1g06380
       497         1           1 At1g06390
       498         1          -1 At1g06400
       499         1           1 At1g06410
       500         1           1 At1g06420
       501         1          -1 At1g06430
       502         1          -1 At1g06440
       503         1           1 At1g06450
       504         1          -1 At1g06460
       505         1           1 At1g06470
       506         1           1 At1g06490
       507         1           1 At1g06500
       508         1           1 At1g06510
       509         1          -1 At1g06520
       510         1           1 At1g06530
       511         1          -1 At1g06540
       512         1          -1 At1g06550
       513         1           1 At1g06560
       514         1          -1 At1g06570
       515         1          -1 At1g06580
       516         1          -1 At1g06590
       517         1          -1 At1g06600
       518         1           1 At1g06620
       518         1           1 At1g06640
       518         1           1 At1g06650
       519         1           1 At1g06630
       520         1          -1 At1g06660
       521         1           1 At1g06670
       522         1           1 At1g06680
       523         1          -1 At1g06690
       524         1          -1 At1g06700
       525         1          -1 At1g06710
       526         1          -1 At1g06720
       527         1           1 At1g06730
       528         1           1 At1g06740
       529         1           1 At1g06750
       530         1          -1 At1g06760
       531         1          -1 At1g06770
       532         1           1 At1g06780
       533         1           1 At1g06790
       534         1          -1 At1g06800
       535         1          -1 At1g06810
       536         1          -1 At1g06820
       537         1           1 At1g06830
       538         1          -1 At1g06840
       539         1           1 At1g06850
       540         1           1 At1g06870
       541         1          -1 At1g06890
       542         1          -1 At1g06900
       543         1           1 At1g06910
       544         1          -1 At1g06920
       545         1           1 At1g06930
       546         1          -1 At1g06940
       547         1          -1 At1g06950
       548         1           1 At1g06960
       549         1           1 At1g06970
       550         1          -1 At1g06980
       551         1           1 At1g06990
       552         1          -1 At1g07000
       553         1           1 At1g07010
       554         1          -1 At1g07020
       555         1          -1 At1g07030
       556         1          -1 At1g07040
       557         1          -1 At1g07050
       558         1          -1 At1g07060
       559         1           1 At1g07070
       560         1           1 At1g07080
       561         1          -1 At1g07090
       562         1          -1 At1g07110
       563         1          -1 At1g07120
       564         1          -1 At1g07130
       565         1          -1 At1g07140
       566         1          -1 At1g07150
       567         1          -1 At1g07160
       568         1           1 At1g07170
       569         1           1 At1g07180
       570         1           1 At1g07190
       571         1          -1 At1g07200
       572         1           1 At1g07210
       573         1          -1 At1g07220
       574         1          -1 At1g07230
       575         1           1 At1g07240
       575         1           1 At1g07250
       575         1           1 At1g07260
       576         1          -1 At1g07270
       577         1           1 At1g07280
       578         1          -1 At1g07290
       579         1          -1 At1g07300
       580         1          -1 At1g07310
       581         1           1 At1g07320
       582         1           1 At1g07330
       583         1           1 At1g07340
       584         1          -1 At1g07350
       585         1          -1 At1g07360
       586         1           1 At1g07370
       587         1          -1 At1g07380
       588         1           1 At1g07390
       589         1           1 At1g07400
       590         1           1 At1g07410
       591         1           1 At1g07420
       592         1          -1 At1g07430
       593         1          -1 At1g07440
       593         1          -1 At1g07450
       594         1           1 At1g07460
       595         1           1 At1g07470
       595         1           1 At1g07480
       596         1           1 At1g07490
       597         1          -1 At1g07500
       598         1           1 At1g07510
       599         1          -1 At1g07520
       599         1          -1 At1g07530
       600         1          -1 At1g07540
       601         1          -1 At1g07550
       601         1          -1 At1g07560
       602         1          -1 At1g07570
       603         1          -1 At1g07590
       604         1          -1 At1g07600
       605         1           1 At1g07610
       606         1          -1 At1g07620
       607         1           1 At1g07630
       608         1          -1 At1g07640
       609         1          -1 At1g07650
       610         1           1 At1g07660
       611         1          -1 At1g07670
       612         1           1 At1g07680
       613         1           1 At1g07690
       614         1           1 At1g07700
       615         1          -1 At1g07710
       616         1          -1 At1g07720
       617         1          -1 At1g07730
       618         1          -1 At1g07740
       619         1          -1 At1g07750
       620         1          -1 At1g07770
       621         1          -1 At1g07780
       622         1           1 At1g07790
       623         1           1 At1g07810
       624         1          -1 At1g07820
       625         1           1 At1g07830
       626         1           1 At1g07840
       627         1           1 At1g07850
       628         1          -1 At1g07860
       629         1          -1 At1g07870
       630         1          -1 At1g07880
       631         1           1 At1g07890
       632         1           1 At1g07900
       633         1           1 At1g07910
       634         1           1 At1g07920
       634         1           1 At1g07930
       634         1           1 At1g07940
       635         1          -1 At1g07950
       636         1           1 At1g07960
       637         1          -1 At1g07970
       638         1          -1 At1g07980
       639         1           1 At1g07990
       640         1          -1 At1g08000
       640         1          -1 At1g08010
       641         1          -1 At1g08020
       642         1          -1 At1g08030
       643         1          -1 At1g08040
       644         1          -1 At1g08050
       645         1          -1 At1g08060
       646         1          -1 At1g08070
       647         1          -1 At1g08080
       648         1           1 At1g08090
       648         1           1 At1g08100
       649         1           1 At1g08110
       650         1           1 At1g08120
       651         1          -1 At1g08130
       652         1          -1 At1g08140
       652         1          -1 At1g08150
       653         1          -1 At1g08160
       654         1          -1 At1g08170
       655         1          -1 At1g08180
       656         1           1 At1g08190
       657         1          -1 At1g08200
       658         1          -1 At1g08210
       659         1          -1 At1g08220
       660         1          -1 At1g08230
       661         1          -1 At1g08250
       662         1           1 At1g08260
       663         1          -1 At1g08270
       664         1           1 At1g08280
       665         1          -1 At1g08290
       666         1           1 At1g08300
       667         1           1 At1g08310
       668         1          -1 At1g08320
       669         1          -1 At1g08330
       670         1           1 At1g08340
       671         1          -1 At1g08350
       672         1           1 At1g08360
       673         1           1 At1g08370
       674         1          -1 At1g08380
       675         1           1 At1g08390
       676         1          -1 At1g08400
       677         1           1 At1g08410
       678         1           1 At1g08420
       679         1           1 At1g08430
       679         1           1 At1g08440
       680         1          -1 At1g08450
       681         1           1 At1g08460
       682         1          -1 At1g08470
       683         1           1 At1g08480
       684         1          -1 At1g08490
       685         1           1 At1g08500
       686         1          -1 At1g08510
       687         1           1 At1g08520
       688         1           1 At1g08530
       689         1           1 At1g08540
       690         1           1 At1g08550
       691         1          -1 At1g08560
       692         1           1 At1g08570
       693         1          -1 At1g08580
       694         1           1 At1g08590
       695         1           1 At1g08600
       696         1          -1 At1g08610
       697         1           1 At1g08620
       698         1          -1 At1g08630
       699         1          -1 At1g08640
       700         1           1 At1g08650
       701         1          -1 At1g08660
       702         1          -1 At1g08670
       703         1           1 At1g08680
       704         1           1 At1g08690
       705         1          -1 At1g08700
       706         1           1 At1g08710
       707         1           1 At1g08720
       708         1           1 At1g08730
       709         1          -1 At1g08740
       710         1           1 At1g08750
       711         1           1 At1g08760
       712         1           1 At1g08770
       713         1          -1 At1g08780
       714         1           1 At1g08790
       715         1          -1 At1g08800
       716         1          -1 At1g08810
       717         1          -1 At1g08820
       718         1           1 At1g08830
       719         1          -1 At1g08840
       719         1          -1 At1g08850
       720         1           1 At1g08860
       721         1          -1 At1g08880
       722         1           1 At1g08890
       723         1           1 At1g08900
       723         1           1 At1g08920
       723         1           1 At1g08930
       724         1           1 At1g08910
       725         1           1 At1g08940
       726         1           1 At1g08960
       727         1           1 At1g08970
       728         1           1 At1g08980
       729         1           1 At1g08990
       730         1           1 At1g09000
       731         1          -1 At1g09010
       732         1          -1 At1g09020
       733         1          -1 At1g09030
       734         1           1 At1g09040
       734         1           1 At1g09050
       735         1          -1 At1g09060
       736         1           1 At1g09070
       737         1          -1 At1g09080
       738         1           1 At1g09090
       739         1          -1 At1g09100
       740         1          -1 At1g09120
       741         1          -1 At1g09130
       742         1          -1 At1g09140
       743         1           1 At1g09150
       744         1          -1 At1g09160
       745         1          -1 At1g09170
       746         1           1 At1g09180
       747         1          -1 At1g09190
       748         1          -1 At1g09200
       749         1          -1 At1g09210
       750         1          -1 At1g09220
       751         1          -1 At1g09230
       752         1           1 At1g09240
       753         1           1 At1g09250
       754         1           1 At1g09260
       755         1           1 At1g09270
       756         1          -1 At1g09280
       757         1          -1 At1g09290
       758         1           1 At1g09300
       759         1           1 At1g09310
       760         1          -1 At1g09320
       761         1          -1 At1g09330
       762         1           1 At1g09340
       763         1           1 At1g09350
       764         1           1 At1g09360
       765         1           1 At1g09370
       766         1          -1 At1g09380
       767         1           1 At1g09390
       768         1          -1 At1g09400
       769         1           1 At1g09410
       770         1          -1 At1g09420
       771         1           1 At1g09430
       772         1          -1 At1g09440
       773         1           1 At1g09450
       774         1           1 At1g09460
       775         1          -1 At1g09470
       776         1           1 At1g09480
       776         1           1 At1g09490
       776         1           1 At1g09500
       776         1           1 At1g09510
       777         1          -1 At1g09520
       778         1           1 At1g09530
       779         1           1 At1g09540
       780         1          -1 At1g09550
       781         1           1 At1g09560
       782         1          -1 At1g09570
       783         1           1 At1g09580
       784         1           1 At1g09590
       784         1           1 At1g09690
       785         1           1 At1g09600
       786         1           1 At1g09610
       787         1          -1 At1g09620
       788         1          -1 At1g09630
       789         1           1 At1g09640
       790         1           1 At1g09650
       791         1          -1 At1g09660
       792         1          -1 At1g09670
       793         1          -1 At1g09680
       794         1          -1 At1g09700
       795         1           1 At1g09710
       796         1          -1 At1g09720
       797         1          -1 At1g09730
       798         1           1 At1g09740
       799         1           1 At1g09750
       800         1          -1 At1g09760
       801         1           1 At1g09770
       802         1          -1 At1g09780
       803         1          -1 At1g09790
       804         1          -1 At1g09800
       805         1          -1 At1g09810
       806         1          -1 At1g09820
       807         1          -1 At1g09830
       808         1          -1 At1g09840
       809         1           1 At1g09850
       810         1          -1 At1g09860
       811         1           1 At1g09870
       812         1          -1 At1g09880
       812         1          -1 At1g09890
       812         1          -1 At1g09910
       813         1           1 At1g09900
       814         1          -1 At1g09920
       815         1          -1 At1g09930
       816         1          -1 At1g09940
       817         1          -1 At1g09950
       818         1           1 At1g09960
       819         1           1 At1g09970
       820         1          -1 At1g09980
       821         1          -1 At1g09990
       822         1          -1 At1g10000
       823         1           1 At1g10010
       824         1          -1 At1g10020
       825         1           1 At1g10030
       826         1          -1 At1g10040
       827         1           1 At1g10050
       828         1           1 At1g10060
       828         1           1 At1g10070
       829         1          -1 At1g10080
       830         1          -1 At1g10090
       831         1           1 At1g10100
       831         1           1 At1g10110
       832         1          -1 At1g10120
       833         1           1 At1g10130
       834         1          -1 At1g10140
       835         1           1 At1g10150
       836         1           1 At1g10160
       837         1          -1 At1g10170
       838         1          -1 At1g10180
       839         1          -1 At1g10190
       840         1          -1 At1g10200
       841         1           1 At1g10210
       842         1           1 At1g10220
       843         1           1 At1g10230
       844         1          -1 At1g10240
       845         1          -1 At1g10250
       846         1          -1 At1g10260
       847         1           1 At1g10270
       848         1          -1 At1g10280
       849         1           1 At1g10290
       850         1           1 At1g10300
       851         1          -1 At1g10310
       852         1          -1 At1g10320
       853         1           1 At1g10330
       854         1          -1 At1g10340
       855         1          -1 At1g10350
       856         1          -1 At1g10360
       856         1          -1 At1g10370
       857         1           1 At1g10380
       858         1          -1 At1g10390
       859         1          -1 At1g10400
       860         1          -1 At1g10410
       861         1          -1 At1g10420
       862         1          -1 At1g10430
       863         1           1 At1g10450
       864         1          -1 At1g10460
       865         1          -1 At1g10470
       866         1           1 At1g10480
       867         1           1 At1g10490
       868         1          -1 At1g10500
       869         1           1 At1g10510
       870         1           1 At1g10520
       871         1          -1 At1g10530
       872         1          -1 At1g10540
       873         1          -1 At1g10550
       874         1           1 At1g10560
       875         1           1 At1g10570
       876         1          -1 At1g10580
       877         1          -1 At1g10590
       878         1           1 At1g10600
       879         1           1 At1g10610
       880         1          -1 At1g10620
       881         1          -1 At1g10630
       882         1          -1 At1g10640
       883         1          -1 At1g10650
       884         1           1 At1g10660
       885         1           1 At1g10670
       886         1          -1 At1g10680
       887         1          -1 At1g10690
       888         1           1 At1g10700
       889         1           1 At1g10710
       890         1           1 At1g10720
       891         1           1 At1g10730
       892         1          -1 At1g10740
       893         1          -1 At1g10750
       894         1          -1 At1g10760
       895         1          -1 At1g10770
       896         1          -1 At1g10780
       897         1           1 At1g10790
       898         1          -1 At1g10800
       899         1           1 At1g10810
       900         1          -1 At1g10820
       901         1          -1 At1g10830
       902         1          -1 At1g10840
       903         1           1 At1g10850
       904         1           1 At1g10860
       905         1          -1 At1g10870
       906         1          -1 At1g10880
       907         1           1 At1g10890
       908         1          -1 At1g10900
       909         1           1 At1g10910
       910         1          -1 At1g10920
       911         1          -1 At1g10930
       912         1          -1 At1g10940
       913         1           1 At1g10950
       914         1           1 At1g10960
       915         1          -1 At1g10970
       916         1          -1 At1g10980
       917         1          -1 At1g10990
       918         1          -1 At1g11000
       919         1           1 At1g11020
       920         1          -1 At1g11040
       921         1           1 At1g11050
       922         1           1 At1g11060
       923         1          -1 At1g11070
       924         1          -1 At1g11080
       925         1           1 At1g11090
       926         1          -1 At1g11100
       927         1           1 At1g11110
       928         1           1 At1g11120
       929         1           1 At1g11130
       929         1           1 At1g11140
       930         1           1 At1g11160
       931         1           1 At1g11170
       932         1           1 At1g11180
       933         1          -1 At1g11190
       934         1           1 At1g11200
       935         1          -1 At1g11210
       936         1          -1 At1g11220
       937         1          -1 At1g11230
       938         1          -1 At1g11240
       939         1           1 At1g11250
       940         1           1 At1g11260
       941         1          -1 At1g11270
       942         1          -1 At1g11280
       942         1          -1 At1g11300
       942         1          -1 At1g11330
       942         1          -1 At1g11340
       942         1          -1 At1g11350
       942         1          -1 At1g11410
       943         1          -1 At1g11290
       944         1          -1 At1g11310
       945         1           1 At1g11320
       946         1          -1 At1g11360
       947         1          -1 At1g11370
       948         1           1 At1g11380
       949         1          -1 At1g11390
