Wed Nov 19 13:23:03 2003
FISH v1.0
FISH is copyright (c)2003, University of North Carolina at Chapel Hill
Authors: Sugata Chakravarty and Todd J. Vision

Control File = control.txt

-parameters
	T = 0.05
	total points = 22068
	total_features = 23321
	total_cells = 2.71923e+08
	h = 8.11554e-05
	d_T = 25.6408
	Min_Block_Size = 3
	block_prob = 0.001
	total_blocks = 508


-block 0
    points   contig1   contig2
       79        1        1

	point	dist	markers	orientation
	571	8	{At1g11280 At1g11300 At1g11330 At1g11340 At1g11350 At1g11410 }{At1g61360 At1g61370 At1g61380 At1g61390 At1g61400 At1g61420 At1g61430 At1g61440 At1g61460 At1g61480 At1g61490 At1g61500 At1g61550 At1g61610 }	1
	586	9	{At1g11310 }{At1g61560 }	1
	591	12	{At1g11390 }{At1g61640 }	1
	592	22	{At1g11540 }{At1g61740 }	1
	593	6	{At1g11560 }{At1g61790 }	1
	597	12	{At1g11630 }{At1g61870 }	1
	604	4	{At1g11670 }{At1g61890 }	1
	609	18	{At1g11740 }{At1g62050 }	1


-block 3
    points   contig1   contig2
       26        1        1

	point	dist	markers	orientation
	981	0	{At1g18410 }{At1g73860 }	1
	984	9	{At1g18460 }{At1g73920 }	1
	985	4	{At1g18470 }{At1g73950 }	1
	986	10	{At1g18500 }{At1g74040 }	1
	987	5	{At1g18540 }{At1g74050 At1g74060 }	1
	992	5	{At1g18570 }{At1g74080 }	1
	994	3	{At1g18590 }{At1g74090 At1g74100 }	1
	995	6	{At1g18610 }{At1g74150 }	1
	996	2	{At1g18620 }{At1g74160 }	1
	1000	17	{At1g18670 }{At1g74330 }	1
	1001	7	{At1g18690 }{At1g74380 }	1
	1002	7	{At1g18710 }{At1g74430 }	1
	1003	2	{At1g18720 }{At1g74440 }	1
	1004	3	{At1g18740 }{At1g74450 }	1
	1005	8	{At1g18790 }{At1g74480 }	1
	1006	8	{At1g18800 }{At1g74560 }	1
	1007	13	{At1g18840 }{At1g74690 }	1
	1008	5	{At1g18870 }{At1g74710 }	1
	1013	5	{At1g18890 }{At1g74740 }	1
	1015	2	{At1g18900 }{At1g74750 At1g74850 }	1
	1016	2	{At1g18910 }{At1g74760 }	1
	1017	2	{At1g18920 }{At1g74770 }	1
	1018	3	{At1g18940 }{At1g74780 }	1
	1019	7	{At1g18970 At1g18980 }{At1g74820 }	1
	1020	2	{At1g18990 }{At1g74830 }	1
	1026	11	{At1g19050 }{At1g74890 }	1


-block 4
    points   contig1   contig2
       25        1        1

	point	dist	markers	orientation
	615	0	{At1g11910 }{At1g62290 }	1
	619	6	{At1g11950 }{At1g62310 }	1
	621	2	{At1g11960 }{At1g62320 }	1
	623	4	{At1g11990 }{At1g62330 }	-1
	626	7	{At1g12010 }{At1g62380 }	1
	628	9	{At1g12040 }{At1g62440 }	1
	629	4	{At1g12070 }{At1g62450 }	1
	632	13	{At1g12130 At1g12140 At1g12160 At1g12200 }{At1g62540 At1g62560 At1g62570 At1g62580 At1g62600 At1g62620 }	1
	638	8	{At1g12210 At1g12220 At1g12280 At1g12290 }{At1g62630 }	1
	641	4	{At1g12240 }{At1g62660 }	1
	644	4	{At1g12260 }{At1g62700 }	1
	646	4	{At1g12270 }{At1g62740 }	1
	651	10	{At1g12300 }{At1g62590 At1g62670 At1g62680 At1g62720 }	1
	658	18	{At1g12310 }{At1g62820 }	1
	659	9	{At1g12340 At1g12390 }{At1g62880 }	1
	660	5	{At1g12380 }{At1g62870 }	1
	663	13	{At1g12460 }{At1g62950 }	1
	666	12	{At1g12560 }{At1g62980 }	1
	675	9	{At1g12610 }{At1g63030 }	1
	680	16	{At1g12620 At1g12700 At1g12770 }{At1g62860 At1g62910 At1g62930 }	1
	687	19	{At1g12640 }{At1g63050 }	1
	688	9	{At1g12710 }{At1g63090 }	1
	690	4	{At1g12730 }{At1g63110 }	1
	691	3	{At1g12750 }{At1g63120 }	1
	693	6	{At1g12780 }{At1g63180 }	1


-block 5
    points   contig1   contig2
       22        1        1

	point	dist	markers	orientation
	782	0	{At1g15280 }{At1g80000 }	1
	783	4	{At1g15300 }{At1g80020 }	1
	785	22	{At1g15380 }{At1g80160 }	1
	788	19	{At1g15480 }{At1g80270 }	1
	790	2	{At1g15490 }{At1g80280 }	1
	791	3	{At1g15500 }{At1g80300 }	1
	800	9	{At1g15550 }{At1g80340 }	1
	804	5	{At1g15570 }{At1g80370 }	1
	805	15	{At1g15670 }{At1g80440 }	1
	806	10	{At1g15730 }{At1g80480 }	1
	807	3	{At1g15750 }{At1g80490 }	1
	808	18	{At1g15810 }{At1g80620 }	1
	809	9	{At1g15850 }{At1g80670 }	1
	810	7	{At1g15870 }{At1g80720 }	1
	816	11	{At1g15910 }{At1g80790 }	1
	817	2	{At1g15920 }{At1g80780 }	1
	818	5	{At1g15940 }{At1g80810 }	1
	820	2	{At1g15950 }{At1g80820 }	1
	821	2	{At1g15960 }{At1g80830 }	1
	823	3	{At1g15970 }{At1g80850 }	1
	825	9	{At1g16010 }{At1g80900 }	1
	826	2	{At1g16020 }{At1g80910 }	1


-block 6
    points   contig1   contig2
       20        1        1

	point	dist	markers	orientation
	911	0	{At1g17420 }{At1g72520 }	1
	912	11	{At1g17430 }{At1g72620 }	1
	914	4	{At1g17460 }{At1g72630 }	1
	915	4	{At1g17470 }{At1g72660 }	1
	920	7	{At1g17500 }{At1g72700 }	1
	921	8	{At1g17530 }{At1g72750 }	1
	922	2	{At1g17540 }{At1g72760 }	1
	924	2	{At1g17550 }{At1g72770 }	1
	926	10	{At1g17600 }{At1g72840 At1g72860 }	1
	927	5	{At1g17610 }{At1g72890 At1g72910 At1g72920 At1g72930 At1g72940 At1g72950 }	1
	935	19	{At1g17730 }{At1g73030 }	1
	938	6	{At1g17750 }{At1g73070 At1g73080 }	1
	941	11	{At1g17790 }{At1g73150 }	1
	942	6	{At1g17810 }{At1g73190 }	1
	943	2	{At1g17820 }{At1g73200 }	1
	945	9	{At1g17880 }{At1g73230 }	1
	946	3	{At1g17890 }{At1g73250 }	1
	953	10	{At1g17920 }{At1g73360 }	1
	954	5	{At1g17940 }{At1g73390 }	1
	957	3	{At1g17950 }{At1g73410 }	1


-block 7
    points   contig1   contig2
       18        1        1

	point	dist	markers	orientation
	830	0	{At1g16060 }{At1g79700 }	-1
	834	6	{At1g16110 At1g16120 At1g16130 At1g16140 At1g16150 At1g16160 At1g16260 }{At1g79670 At1g79680 }	-1
	839	6	{At1g16200 }{At1g79650 }	-1
	840	4	{At1g16220 }{At1g79630 }	-1
	841	6	{At1g16240 }{At1g79590 }	-1
	842	4	{At1g16270 }{At1g79570 }	-1
	843	7	{At1g16300 }{At1g79530 }	-1
	844	2	{At1g16310 }{At1g79520 }	-1
	845	2	{At1g16320 }{At1g79510 }	-1
	847	3	{At1g16340 }{At1g79500 }	-1
	848	4	{At1g16350 }{At1g79470 }	-1
	850	3	{At1g16360 }{At1g79450 }	-1
	851	9	{At1g16370 At1g16390 }{At1g79360 At1g79410 }	-1
	852	5	{At1g16380 }{At1g79400 }	-1
	854	15	{At1g16440 }{At1g79250 }	-1
	855	2	{At1g16460 }{At1g79230 }	-1
	856	3	{At1g16470 }{At1g79210 }	-1
	866	5	{At1g16490 }{At1g79180 }	-1


-block 8
    points   contig1   contig2
       16        1        1

	point	dist	markers	orientation
	1388	0	{At1g26630 }{At1g69410 }	1
	1389	4	{At1g26650 }{At1g69430 }	1
	1390	7	{At1g26690 }{At1g69460 }	1
	1392	5	{At1g26730 }{At1g69480 }	-1
	1393	9	{At1g26770 }{At1g69530 }	1
	1394	4	{At1g26780 }{At1g69560 }	1
	1396	15	{At1g26830 }{At1g69670 }	-1
	1400	10	{At1g26880 }{At1g69620 }	-1
	1403	24	{At1g26960 }{At1g69780 }	1
	1405	2	{At1g26970 }{At1g69790 }	1
	1413	23	{At1g26990 }{At1g70010 }	-1
	1415	19	{At1g27040 }{At1g69850 }	1
	1416	6	{At1g27080 }{At1g69870 }	1
	1418	4	{At1g27100 }{At1g69890 }	1
	1420	6	{At1g27130 At1g27140 }{At1g69920 At1g69930 }	-1
	1421	9	{At1g27190 }{At1g69990 }	1


-block 9
    points   contig1   contig2
       15        1        1

	point	dist	markers	orientation
	379	0	{At1g09080 }{At1g56410 }	-1
	391	16	{At1g09180 }{At1g56330 }	-1
	396	4	{At1g09210 }{At1g56340 }	1
	397	11	{At1g09240 }{At1g56430 }	1
	398	17	{At1g09310 }{At1g56580 }	-1
	399	6	{At1g09350 }{At1g56600 }	1
	401	10	{At1g09390 }{At1g56670 }	1
	404	4	{At1g09410 }{At1g56690 }	1
	411	6	{At1g09440 }{At1g56720 }	1
	420	10	{At1g09540 }{At1g57560 At1g57580 }	1
	424	3	{At1g09550 }{At1g57590 }	1
	427	6	{At1g09580 }{At1g57620 }	1
	428	5	{At1g09590 At1g09690 }{At1g57660 }	1
	434	5	{At1g09600 }{At1g57700 }	1
	441	5	{At1g09640 }{At1g57720 }	1


-block 10
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	429	0	{At1g09590 At1g09690 }{At1g57860 }	-1
	452	25	{At1g09840 }{At1g57870 }	1
	454	3	{At1g09860 }{At1g57980 At1g57990 }	1


-block 11
    points   contig1   contig2
       11        1        1

	point	dist	markers	orientation
	482	0	{At1g10210 }{At1g59580 }	1
	489	11	{At1g10290 }{At1g59610 }	1
	493	13	{At1g10360 At1g10370 }{At1g59670 At1g59700 }	-1
	494	3	{At1g10390 }{At1g59660 }	-1
	496	3	{At1g10410 }{At1g59650 }	-1
	498	18	{At1g10430 }{At1g59830 }	1
	501	6	{At1g10450 }{At1g59890 }	1
	504	6	{At1g10470 }{At1g59940 }	1
	507	15	{At1g10540 }{At1g60030 }	1
	511	15	{At1g10560 }{At1g60190 }	1
	512	4	{At1g10570 }{At1g60220 }	1


-block 12
    points   contig1   contig2
       11        1        1

	point	dist	markers	orientation
	961	0	{At1g18040 }{At1g73690 }	-1
	964	13	{At1g18150 }{At1g73670 }	-1
	966	2	{At1g18160 }{At1g73660 }	-1
	967	3	{At1g18180 }{At1g73650 }	-1
	968	3	{At1g18200 }{At1g73640 }	-1
	969	2	{At1g18210 }{At1g73630 }	-1
	970	3	{At1g18250 }{At1g73620 }	-1
	972	6	{At1g18260 }{At1g73570 }	-1
	973	7	{At1g18300 }{At1g73540 }	-1
	974	9	{At1g18350 }{At1g73500 }	-1
	975	3	{At1g18360 }{At1g73480 }	-1


-block 13
    points   contig1   contig2
        8        1        1

	point	dist	markers	orientation
	870	0	{At1g16680 }{At1g79030 }	-1
	871	2	{At1g16690 }{At1g79020 }	-1
	872	2	{At1g16700 }{At1g79010 }	-1
	875	2	{At1g16710 }{At1g79000 }	-1
	878	9	{At1g16760 }{At1g78940 }	-1
	879	4	{At1g16780 }{At1g78920 }	-1
	880	12	{At1g16860 }{At1g78880 }	-1
	881	4	{At1g16890 }{At1g78870 }	-1


-block 14
    points   contig1   contig2
        7        1        1

	point	dist	markers	orientation
	362	0	{At1g08730 }{At1g54560 }	-1
	368	22	{At1g08880 }{At1g54690 }	1
	370	6	{At1g08900 At1g08920 At1g08930 }{At1g54730 }	1
	372	12	{At1g08970 }{At1g54830 }	1
	374	13	{At1g08990 }{At1g54940 }	1
	376	3	{At1g09000 }{At1g54960 }	1
	377	13	{At1g09040 At1g09050 }{At1g55050 }	1


-block 15
    points   contig1   contig2
        7        1        1

	point	dist	markers	orientation
	734	0	{At1g13880 }{At1g26580 }	1
	735	12	{At1g13950 }{At1g26630 }	1
	738	12	{At1g14010 }{At1g26690 }	1
	741	6	{At1g14040 }{At1g26730 }	1
	746	22	{At1g14220 }{At1g26820 }	1
	748	17	{At1g14320 }{At1g26910 }	1
	752	11	{At1g14370 }{At1g26970 }	1


-block 16
    points   contig1   contig2
        7        1        1

	point	dist	markers	orientation
	1220	0	{At1g22500 }{At1g72200 }	-1
	1221	8	{At1g22530 }{At1g72150 }	-1
	1222	2	{At1g22540 At1g22550 At1g22570 }{At1g72120 At1g72130 At1g72140 }	1
	1223	4	{At1g22600 }{At1g72100 }	-1
	1235	15	{At1g22650 }{At1g72000 }	-1
	1237	17	{At1g22710 }{At1g71880 At1g71890 }	-1
	1241	16	{At1g22760 }{At1g71770 }	-1


-block 17
    points   contig1   contig2
        7        1        1

	point	dist	markers	orientation
	1359	0	{At1g25450 }{At1g68530 }	1
	1361	2	{At1g25460 }{At1g68540 }	1
	1362	8	{At1g25480 }{At1g68600 }	1
	1363	9	{At1g25520 }{At1g68650 }	1
	1368	22	{At1g25560 }{At1g68840 }	-1
	1371	19	{At1g26130 }{At1g68710 }	-1
	1375	4	{At1g26150 }{At1g68690 }	-1


-block 18
    points   contig1   contig2
        6        1        1

	point	dist	markers	orientation
	885	0	{At1g16980 At1g17000 }{At1g78580 }	-1
	887	4	{At1g17010 At1g17020 }{At1g78550 }	-1
	888	3	{At1g17040 }{At1g78540 }	-1
	889	4	{At1g17050 }{At1g78510 }	-1
	891	21	{At1g17150 }{At1g78400 }	-1
	892	5	{At1g17170 At1g17180 At1g17190 }{At1g78320 At1g78340 At1g78370 At1g78380 }	-1


-block 19
    points   contig1   contig2
        6        1        1

	point	dist	markers	orientation
	1600	0	{At1g34620 At1g34700 At1g34710 }{At1g44840 }	-1
	1612	22	{At1g34720 At1g34730 At1g34740 }{At1g45090 }	1
	1617	25	{At1g35060 }{At1g44840 }	1
	1620	2	{At1g35070 At1g35090 At1g35100 }{At1g44850 At1g44860 }	1
	1621	2	{At1g35080 At1g35110 }{At1g44870 At1g44880 }	1
	1624	15	{At1g35170 At1g35180 }{At1g45010 }	1


-block 20
    points   contig1   contig2
        5        1        1

	point	dist	markers	orientation
	462	0	{At1g09940 }{At1g58290 }	1
	463	5	{At1g09950 }{At1g58330 }	-1
	467	5	{At1g09980 }{At1g58350 }	1
	469	4	{At1g10010 }{At1g58360 }	1
	471	5	{At1g10050 }{At1g58370 }	1


-block 21
    points   contig1   contig2
        5        1        1

	point	dist	markers	orientation
	1968	0	{At1g60140 }{At1g70290 }	1
	1969	2	{At1g60160 }{At1g70300 }	1
	1970	11	{At1g60170 }{At1g70400 }	-1
	1972	17	{At1g60390 }{At1g70370 }	1
	1973	25	{At1g60590 }{At1g70500 }	1


-block 22
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1316	0	{At1g24120 }{At1g59980 }	-1
	1318	3	{At1g24140 }{At1g59970 }	-1
	1322	9	{At1g24180 }{At1g59900 }	-1
	1323	2	{At1g24190 }{At1g59890 }	-1


-block 23
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1319	0	{At1g24140 }{At1g70170 }	-1
	1320	4	{At1g24150 }{At1g70140 }	-1
	1321	6	{At1g24170 }{At1g70090 }	-1
	1324	5	{At1g24190 }{At1g70060 }	-1


-block 24
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1327	0	{At1g24320 }{At1g67490 }	1
	1329	5	{At1g24330 }{At1g67530 }	1
	1330	9	{At1g24350 }{At1g67600 }	1
	1334	8	{At1g24400 }{At1g67640 }	1


-block 25
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1593	0	{At1g34530 }{At1g42200 At1g42410 At1g42500 }	-1
	1599	17	{At1g34620 At1g34700 At1g34710 }{At1g42450 }	-1
	1619	20	{At1g35070 At1g35090 At1g35100 }{At1g42400 }	1
	1622	17	{At1g35080 At1g35110 }{At1g42650 }	1


-block 26
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1626	0	{At1g35240 }{At1g43950 }	1
	1631	12	{At1g35300 }{At1g44060 }	-1
	1637	25	{At1g35520 At1g35540 }{At1g43950 }	1
	1644	13	{At1g35590 At1g35600 }{At1g44060 }	-1


-block 27
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	1718	0	{At1g44100 }{At1g77380 }	1
	1720	2	{At1g44110 }{At1g77390 }	1
	1722	8	{At1g44120 }{At1g77460 }	1
	1723	3	{At1g44130 }{At1g77480 }	1


-block 28
    points   contig1   contig2
        4        1        1

	point	dist	markers	orientation
	2006	0	{At1g62540 At1g62560 At1g62570 At1g62580 At1g62600 At1g62620 }{At1g63340 At1g63370 At1g63390 }	-1
	2009	22	{At1g62590 At1g62670 At1g62680 At1g62720 }{At1g63070 At1g63080 At1g63130 At1g63150 At1g63230 At1g63320 At1g63330 At1g63400 }	1
	2015	24	{At1g62610 }{At1g63380 }	-1
	2016	2	{At1g62630 }{At1g63350 At1g63360 }	-1


-block 29
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	32	0	{At1g01600 }{At1g63710 }	-1
	34	7	{At1g01650 }{At1g63690 }	-1
	37	23	{At1g01740 }{At1g63500 }	-1


-block 30
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	241	0	{At1g06390 }{At1g09840 }	-1
	244	21	{At1g06400 }{At1g09630 }	1
	258	22	{At1g06580 }{At1g09680 }	1


-block 31
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	405	0	{At1g09410 }{At1g74600 At1g74630 }	-1
	423	25	{At1g09540 }{At1g74430 }	1
	435	16	{At1g09600 }{At1g74330 }	-1


-block 32
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	523	0	{At1g10620 }{At1g70450 At1g70460 }	-1
	525	4	{At1g10630 }{At1g70490 }	1
	536	17	{At1g10750 }{At1g70550 }	-1


-block 33
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	561	0	{At1g11100 }{At1g50410 }	-1
	569	22	{At1g11260 }{At1g50310 }	1
	583	7	{At1g11290 }{At1g50270 }	-1


-block 34
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	633	0	{At1g12130 At1g12140 At1g12160 At1g12200 }{At1g63340 At1g63370 At1g63390 }	-1
	639	6	{At1g12210 At1g12220 At1g12280 At1g12290 }{At1g63350 At1g63360 }	-1
	654	24	{At1g12300 }{At1g63630 }	-1


-block 35
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	736	0	{At1g13950 }{At1g69410 }	1
	739	11	{At1g14010 }{At1g69460 }	1
	743	5	{At1g14040 }{At1g69480 }	-1


-block 36
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	865	0	{At1g16490 }{At1g56160 }	-1
	869	15	{At1g16670 }{At1g56120 At1g56130 At1g56140 }	-1
	873	18	{At1g16710 }{At1g55970 }	-1


-block 37
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	896	0	{At1g17230 }{At1g72180 }	1
	899	13	{At1g17240 At1g17250 }{At1g72300 }	1
	904	7	{At1g17290 }{At1g72330 }	1


-block 38
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1207	0	{At1g22200 }{At1g36050 }	-1
	1208	10	{At1g22210 }{At1g35910 }	-1
	1210	16	{At1g22240 }{At1g35730 At1g35750 }	-1


-block 39
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1294	0	{At1g23760 }{At1g60390 }	-1
	1301	25	{At1g23870 }{At1g60140 }	-1
	1305	8	{At1g23900 At1g23940 }{At1g60070 }	-1


-block 40
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1414	0	{At1g27040 }{At1g59740 }	-1
	1417	9	{At1g27100 }{At1g59710 }	-1
	1422	21	{At1g27210 }{At1g59850 }	1


-block 41
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1597	0	{At1g34620 At1g34700 At1g34710 }{At1g35060 }	-1
	1601	20	{At1g34660 }{At1g35280 }	1
	1614	15	{At1g34760 }{At1g35160 }	-1


-block 42
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1611	0	{At1g34620 At1g34700 At1g34710 }{At1g52010 }	-1
	1613	7	{At1g34720 At1g34730 At1g34740 }{At1g52020 }	1
	1618	11	{At1g35060 }{At1g52090 }	-1


-block 43
    points   contig1   contig2
        3        1        1

	point	dist	markers	orientation
	1630	0	{At1g35300 }{At1g36460 }	-1
	1635	10	{At1g35370 At1g35380 }{At1g36550 At1g36590 }	1
	1643	22	{At1g35590 At1g35600 }{At1g36460 }	-1


-block 44
    points   contig1   contig2
        3        1        1

